county,decade,elect_infrastructure,pct_elect,HDI,housing_value,area
58,8,0,.090448186,.428,4.3829398,1810
58,9,.14285715,.36874318,.5880959,3.6098211,1709.699951171875
58,10,.14285715,.57422704,.65949911,5.9655404,1702.099975585938
59,6,0,,,,17180
59,7,0,.067456104,.3699224,6.1365089,16550
59,8,0,.14680256,.46729535,5.6551085,16550
59,9,.040816326,.24496426,.59929526,3.7911553,12875.900390625
59,10,.040816326,.47527307,.65556055,5.604619,12818.900390625
60,6,0,,,,13237
60,7,0,.061636914,.33428526,5.3284392,13554
60,8,0,.12932572,.427789,5.8030062,13554
60,9,.083333336,.22211125,.56992888,3.527293,17603.69921875
60,10,.083333336,.42900273,.61937308,4.972775,17525.19921875
61,6,0,,,,42176
61,7,.14285715,.026293589,.2969107,6.4054532,49856
61,8,.14285715,.1244691,.53501648,7.9880695,49856
61,9,.14285715,.5547989,.62597215,7.1448231,52681
61,10,.14285715,.74604172,.71185893,10.04931,52465.19921875
62,6,0,,,,923
62,7,0,.074715614,.375,5.1281533,943
62,8,0,.19474393,.47600001,5.8979855,943
62,9,0,.70860368,.61500001,3.1653464,883.7000122070313
62,10,0,.86353898,.70947999,6.2270303,879.7999877929688
63,6,0,,,,4979
63,7,0,.055811573,.30199999,5.9767852,2117
63,8,0,.12068757,.41,4.5126815,2117
63,9,.14285715,.4269377,.59784901,4.4351516,1855.300048828125
63,10,.14285715,.68742412,.68443644,7.6099205,1847
64,6,0,,,,59616
64,7,0,.14790003,.28187847,6.2995324,45942
64,8,0,.29504731,.56459218,10.947751,45942
64,9,.1436464,.66978168,.61575884,7.8323784,46615
64,10,.1436464,.79920369,.69865942,10.875406,46409
65,6,0,,,,122483
65,7,0,.12171416,.36257622,7.0196276,124498
65,8,0,.267147,.5190984,6.8902655,124498
65,9,0,.47159979,.61467761,5.5477157,121815.296875
65,10,0,.72203189,.69826877,7.9620914,121272.6015625
66,6,0,,,,222475
66,7,0,.12414595,.37842825,7.4082894,226574
66,8,0,.40320551,.57307488,10.781843,226574
66,9,.031007752,.62762398,.63866258,6.8895364,232861.5
66,10,.032115173,.71683538,.71309131,9.528326,232023.703125
67,6,0,,,,502
67,7,0,.047084235,.39300001,9.7703714,525
67,8,0,.19557196,.54300004,7.9870095,525
67,9,0,.48994258,.63800001,3.7278111,924.2000122070313
67,10,0,.77177644,.6942445,6.0248003,920.0999755859375
68,6,0,,,,3904
68,7,0,.12760349,.35443202,7.4141951,3755
68,8,0,.19488402,.498768,7.4161286,3755
68,9,.055555556,.63116157,.66709441,5.9704823,4576.89990234375
68,10,.055555556,.76775253,.71955192,8.030962,4556.5
69,6,0,,,,2489
69,7,0,.17015584,.39599997,8.0930052,2573
69,8,0,.54736876,.55672491,10.801198,2573
69,9,.76923078,.86133343,.66666579,9.9388742,3171.39990234375
69,10,.76923078,.97594249,.75667018,19.382215,3176.300048828125
70,6,0,,,,16965
70,7,0,.23194748,.38299999,7.6692481,16965
70,8,0,.53679651,.616,12.779655,16965
70,9,0,.75201821,.63599998,4.9794931,14333
70,10,0,.87525809,.68800002,6.9997048,14269.400390625
71,6,0,,,,24912
71,7,0,.3152318,.41800001,14.644932,24912
71,8,0,.43280181,.54699999,8.8250132,24912
71,9,0,.71683073,.66800004,7.3362026,22725.69921875
71,10,0,.86610341,.73800004,13.174099,22625.30078125
72,6,0,,,,51737
72,7,0,.4029282,.43224376,14.60534,51737
72,8,0,.70191365,.59236854,14.217904,51737
72,9,0,.87854493,.70723081,13.051269,59607.1015625
72,10,0,.96559721,.75746155,14.732224,59341.6015625
73,6,0,,,,45454
73,7,0,.14508671,.32300001,7.9835916,45454
73,8,0,.34166229,.50999999,6.6457543,45454
73,9,0,.64694524,.61646175,4.6002116,46787.8984375
73,10,0,.85651356,.70142871,8.7048502,46579.5
74,6,0,,,,8758
74,7,0,.044976637,.331,5.8467984,8758
74,8,.12121212,.16390206,.50400001,8.0357199,8758
74,9,.12121212,.50050312,.61900002,6.3206635,8730.099609375
74,10,.12121212,.74220854,.70683974,10.67788,8696.7001953125
75,6,0,,,,5243
75,7,0,.086520948,.29300001,6.4864998,5243
75,8,0,.15142277,.442,7.2974772,5243
75,9,0,.41040969,.56464583,6.3702483,5743.10009765625
75,10,0,.64907271,.68309796,8.87638,5721.2001953125
76,6,0,,,,6752
76,7,0,.041169681,.30199999,5.4784389,6398
76,8,0,.10184904,.389,5.7746229,6398
76,9,.31818181,.31516469,.57897663,4.4921618,6193.2998046875
76,10,.31818181,.51930845,.6480903,7.7799559,6166.60009765625
77,6,0,,,,19151
77,7,0,.012365108,.28379929,4.2473016,19151
77,8,0,.034723569,.3439931,2.8779993,19151
77,9,0,.18332514,.53734767,3.1400235,19227.900390625
77,10,0,.41694048,.61112928,5.7875295,19147.400390625
78,6,0,,,,14215
78,7,0,.016825164,.285,2.7328053,14215
78,8,0,.030582804,.359,2.5335567,14215
78,9,0,.20984636,.5730136,4.0632486,12209
78,10,0,.42197907,.62906766,5.999063,12159.099609375
79,6,0,,,,11070
79,7,0,.0084447572,.37316081,6.8715034,9360
79,8,0,.15297149,.46734402,7.8457112,9360
79,9,.52941179,.59424144,.65751386,8.8915825,8878.2998046875
79,10,.52941179,.79441869,.71653235,11.403979,8660.900390625
80,6,0,,,,10674
80,7,0,.015933232,.30124682,4.8539433,10674
80,8,0,.077331915,.37841922,4.2349548,10674
80,9,0,.25141487,.57605129,4.9552746,10798.2001953125
80,10,0,.51872784,.66269684,8.2359896,10762.5
81,6,0,,,,3383
81,7,0,.054644808,.28,4.8774819,6201
81,8,0,.097789116,.38700002,4.0827818,6201
81,9,0,.30165401,.59530479,3.895488,5908.2998046875
81,10,.14285715,.56945479,.63649052,6.1895237,5884.5
82,6,0,,,,14967
82,7,0,.04161359,.28299999,5.0241871,14967
82,8,.06779661,.079648606,.46599999,5.1959939,14967
82,9,.06779661,.32500854,.60238254,6.1028094,15406.2998046875
82,10,.16949153,.49094924,.66397864,7.2902088,15240.400390625
83,6,0,,,,5561
83,7,0,.098868378,.32699999,5.3053465,5561
83,8,0,.18499127,.42899999,6.3663659,5561
83,9,.055555556,.42120737,.66899997,6.501492,4805
83,10,.055555556,.68541723,.69934791,10.257777,4780.5
84,6,0,,,,14356
84,7,0,.041104112,.30482417,4.5256853,14356
84,8,.01923077,.077320538,.52399594,7.6921482,14356
84,9,.23076923,.51331908,.63643271,6.684207,14051
84,10,.61538464,.72155988,.71252692,9.7605343,13790
85,6,0,,,,27242
85,7,0,.026737276,.31999308,4.7644625,28850
85,8,0,.089979015,.45451581,5.9145217,28850
85,9,.14953271,.45077211,.59840459,6.1895671,28112.19921875
85,10,.14953271,.65416789,.68021387,9.2151337,28255.599609375
86,6,0,,,,11254
86,7,0,.031237798,.36312646,8.0064363,12494
86,8,0,.29747334,.56087178,13.13201,12494
86,9,0,.69926035,.6834169,13.164671,12203.7001953125
86,10,0,.89171481,.75929016,14.588396,12398.400390625
87,6,0,,,,5140
87,7,0,.022701476,.285,4.7967825,5140
87,8,0,.093457945,.366,5.0487609,5140
87,9,0,.30485529,.50599998,3.8724499,3128
87,10,0,.49775645,.62751466,7.78933,3115.800048828125
88,6,0,,,,18796
88,7,0,.0032232071,.27200001,3.9377463,15978
88,8,0,.064652145,.36199999,3.7855361,15978
88,9,0,.1902111,.58400005,3.8148236,15995.900390625
88,10,0,.42374602,.65584087,7.4939532,15931.900390625
89,6,0,,,,10991
89,7,0,.12013695,.28079784,5.7130795,10991
89,8,0,.19799805,.40163693,6.2276998,10991
89,9,0,.45161188,.57596421,6.6454997,11770.7998046875
89,10,0,.68461448,.66578585,10.72812,11724.7001953125
90,6,0,,,,2754
90,7,0,.059358753,.32599786,7.3962941,3168
90,8,0,.17144507,.53055185,8.8785944,3168
90,9,.84615386,.70044166,.64815158,9.2193995,3265.10009765625
90,10,.84615386,.8844403,.72598958,12.865392,3150.60009765625
91,6,0,,,,16222
91,7,.44262296,.031305064,.2910715,5.2099934,16222
91,8,.60655737,.096760504,.41315007,4.6694016,16222
91,9,.60655737,.47380587,.53398108,3.9365399,15967
91,10,.60655737,.76518947,.62271607,7.1835556,15783.900390625
92,6,0,,,,4104
92,7,0,.062557921,.26662034,5.1968727,4104
92,8,0,.10160819,.36712897,4.9789743,4104
92,9,0,.41389966,.55038691,4.9841018,3724.199951171875
92,10,0,.6283673,.66056144,9.7681923,3709.89990234375
93,6,0,,,,60620
93,7,0,.076750278,.32307124,7.3368587,59422
93,8,0,.22032596,.50856721,9.8654814,59422
93,9,.1369863,.62792271,.66493034,10.146586,57414.5
93,10,.24200913,.89751863,.76466972,16.207153,57276.8984375
94,6,0,,,,15691
94,7,.03508772,.064094238,.32405549,6.7667685,15691
94,8,.03508772,.27681679,.53314483,10.310895,15691
94,9,.03508772,.73029876,.65873468,9.5360298,14888.7998046875
94,10,.03508772,.85629672,.71266603,13.628624,14939.900390625
95,6,1,,,,1201
95,7,1,.018359492,.25,3.6296985,1201
95,8,1,.041582149,.34400001,3.0250041,1201
95,9,1,.20527613,.528,2.9150362,1495.599975585938
95,10,1,.55182093,.59999996,5.2733335,1489
96,6,0,,,,7252
96,7,0,.0036304961,.26100001,3.958087,7252
96,8,.035714287,.064995356,.36300001,2.5816011,7252
96,9,.035714287,.38954851,.47900003,3.9515061,7466
96,10,.035714287,.5445267,.58199996,5.3913832,7178.89990234375
97,6,0,,,,1150
97,7,.5,.02984127,.31200001,5.0541463,1150
97,8,1,.074252136,.329,2.4501386,1150
97,9,1,.27440056,.458,2.3154881,1137.5
97,10,1,.51977158,.56700003,4.393321,1132.5
98,6,0,,,,1257
98,7,.33333334,.057858635,.32499999,5.9300709,1257
98,8,1,.25805682,.39299998,4.2185316,1257
98,9,1,.59696525,.52500004,4.6357284,1084.199951171875
98,10,1,.80479157,.61699998,8.2019329,1079.400024414063
99,6,0,,,,12396
99,7,.08510638,.075828008,.294,4.0023437,12436
99,8,.08510638,.21547085,.45899999,7.9254084,12436
99,9,.08510638,.65131658,.588,7.2179856,12616.7998046875
99,10,.08510638,.86890823,.69600004,12.291302,12564
100,6,.25,,,,2561
100,7,.25,.042234331,.28399998,4.9894166,2561
100,8,.25,.14429666,.359,4.7324886,2561
100,9,.25,.40816548,.49399999,3.8889394,2339.800048828125
100,10,.25,.62700963,.63099998,7.1398244,2179.89990234375
101,6,1,,,,811
101,7,1,.044134077,.28099999,5.129674,811
101,8,1,.059732236,.35799998,2.4751544,811
101,9,1,.33530754,.495,2.3050094,775.5999755859375
101,10,1,.60556138,.57700002,3.99739,772.2000122070313
102,6,0,,,,1035
102,7,.60000002,.014816886,.227,3.5513589,1035
102,8,1,.061713744,.31999999,2.9451802,1035
102,9,1,.20931439,.454,2.9405932,1409.099975585938
102,10,1,.38957986,.55199999,4.7050858,1402.900024414063
103,6,0,,,,1883
103,7,0,.0036873156,.24699999,3.7569952,1883
103,8,.14285715,.1122167,.347,4.0635281,1883
103,9,.14285715,.45213521,.51200002,3.7633729,1733.199951171875
103,10,.14285715,.68560791,.583,5.5487428,1726.099975585938
104,6,0,,,,647
104,7,0,.031179564,.28599998,4.6882296,647
104,8,1,.046538685,.38700002,2.4314623,647
104,9,1,.18650208,.47300002,1.9998059,421.3999938964844
104,10,1,.38204291,.58899999,3.8907263,419.5
105,6,0,,,,345
105,7,1,.023255814,.23,4.7305603,345
105,8,1,.055016182,.32999998,3.0415311,345
105,9,1,.38730845,.47400001,2.4778655,310
105,10,1,.74991584,.54000002,5.3641911,308.6000061035156
106,6,0,,,,340
106,7,.33333334,.02770487,.226,4.3287258,364
106,8,1,.11206897,.33900002,4.5063891,364
106,9,1,.55795103,.52500004,3.8770468,1118
106,10,1,.84987336,.56799996,7.216784,1113.199951171875
107,6,0,,,,1349
107,7,0,.057399724,.26300001,3.5404105,1349
107,8,.18181819,.072131149,.38600001,4.029943,1349
107,9,.18181819,.354265,.45300001,2.5611975,2424.10009765625
107,10,.18181819,.64532572,.56900001,3.9855723,2413.300048828125
108,6,0,,,,1458
108,7,.5,.029911624,.27600002,3.1957018,1458
108,8,.5,.044618715,.33899999,2.1364257,1458
108,9,.5,.10624427,.447,1.6796148,1546.599975585938
108,10,.5,.50968671,.57200003,3.5141084,1539.800048828125
109,6,0,,,,618
109,7,0,.046690308,.24100001,3.4608741,618
109,8,0,.13287815,.32699999,4.0382748,618
109,9,0,.57626808,.458,3.4833226,574.5999755859375
109,10,0,.8612923,.54699999,5.5915427,572.0999755859375
110,6,0,,,,1709
110,7,.33333334,.016978776,.206,2.892199,1709
110,8,.33333334,.035772029,.259,1.0778675,1709
110,9,.5,.21930876,.44999999,1.9794917,1812.900024414063
110,10,.5,.396258,.56699997,4.2901101,1805
111,6,0,,,,1169
111,7,0,.18510406,.27899998,5.6268835,1169
111,8,.60000002,.14285715,.377,3.8755758,1169
111,9,.60000002,.44422507,.48099998,3.279253,968
111,10,.60000002,.65751386,.574,6.2286639,963.9000244140625
112,6,0,,,,410
112,7,0,.05078534,.25999999,3.8452795,410
112,8,1,.21821561,.34599999,4.6507621,410
112,9,1,.69719601,.49900001,5.1458726,535
112,10,1,.89471161,.59200001,8.1265116,532.7000122070313
113,6,0,,,,3264
113,7,0,.008963367,.21699999,3.6657941,3264
113,8,0,.038000271,.29000002,1.7259241,3264
113,9,0,.20233569,.43700001,2.1830819,3604.699951171875
113,10,0,.51280034,.55799997,4.8675942,3589.10009765625
114,6,0,,,,801
114,7,0,.044265155,.32300001,5.8451781,801
114,8,1,.090404883,.44000003,4.2707639,801
114,9,1,.34065241,.479,2.9121253,843.2000122070313
114,10,1,.66332006,.58399999,4.9165196,839.5
115,6,0,,,,915
115,7,1,.070658684,.27399999,6.5663104,915
115,8,1,.10438274,.37900001,3.4669557,915
115,9,1,.32346952,.45100001,2.3166296,769.2000122070313
115,10,1,.71507764,.57199997,4.8235726,727
116,6,0,,,,3188
116,7,0,.073115863,.25399998,2.6415765,3188
116,8,0,.064718165,.366,2.8131239,3188
116,9,0,.18556762,.53100002,2.7830756,3005.60009765625
116,10,0,.44867104,.60899997,5.162961,2992.89990234375
117,6,0,,,,2247
117,7,0,.0088360757,.273,3.9623559,2247
117,8,1,.10130818,.398,4.0232873,2247
