consumption,savings,income
24766.2,0.0,24766.2
36400.92,0.0,36400.92
16131.5,0.0,16131.5
63853.11,0.0,63853.11
13352.46,0.0,13352.46
36334.24,0.0,36334.24
32004.9,314.75,32319.65
13272.47,0.0,13272.47
23585.14,0.0,23585.14
15290.35,0.0,15290.35
30271.22,0.0,30271.22
21869.32,9944.75,31814.07
30864.69,0.0,30864.69
42377.31,0.0,42377.31
53887.56,0.0,53887.56
31002.23,12472.82,43475.05
34865.75,0.0,34865.75
30349.89,0.0,30349.89
39254.47,0.0,39254.47
16347.49,0.0,16347.49
36816.13,0.0,36816.13
25943.48,0.0,25943.48
63071.29,0.0,63071.29
31071.14,0.0,31071.14
13651.88,0.0,13651.88
15692.86,0.0,15692.86
43509.93,737.7,44247.63
39514.8,0.0,39514.8
10527.08,5901.63,16428.71
25817.28,23478.26,49295.53999999999
15159.42,1173.91,16333.33
49658.11,0.0,49658.11
20107.7,547.82,20655.52
49932.4,0.0,49932.4
3980.93,0.0,3980.93
17084.57,0.0,17084.57
15313.9,0.0,15313.9
40495.32,0.0,40495.32
16063.41,0.0,16063.41
26947.54,978.26,27925.8
41986.41,0.0,41986.41
19488.88,0.0,19488.88
25524.06,0.0,25524.06
13525.07,0.0,13525.07
19216.84,0.0,19216.84
44098.2,15652.17,59750.369999999995
26049.67,0.0,26049.67
10004.45,0.0,10004.45
31060.66,8852.45,39913.11
12928.62,0.0,12928.62
11180.31,0.0,11180.31
42642.5,0.0,42642.5
30476.09,0.0,30476.09
20349.54,0.0,20349.54
19143.27,0.0,19143.27
3232.85,0.0,3232.85
29646.52,14673.91,44320.43
28572.07,0.0,28572.07
15424.82,0.0,15424.82
36537.99,0.0,36537.99
25100.06,0.0,25100.06
47507.6,0.0,47507.6
24549.06,0.0,24549.06
57009.61,0.0,57009.61
36271.35,0.0,36271.35
30608.43,0.0,30608.43
28854.19,0.0,28854.19
27953.89,0.0,27953.89
9017.96,0.0,9017.96
59371.27,0.0,59371.27
69107.57,12295.08,81402.65000000001
17258.99,516.39,17775.38
27862.35,0.0,27862.35
27064.25,0.0,27064.25
21293.43,0.0,21293.43
36421.89,0.0,36421.89
20813.36,0.0,20813.36
23632.89,9048.91,32681.8
53631.64,8360.65,61992.29
29388.65,0.0,29388.65
53046.7,0.0,53046.7
63667.98,0.0,63667.98
29286.17,0.0,29286.17
31953.0,0.0,31953.0
47508.62,3913.04,51421.66
11490.2,11739.13,23229.33
11929.23,0.0,11929.23
20220.96,0.0,20220.96
30164.0,0.0,30164.0
20956.61,0.0,20956.61
2605.82,0.0,2605.82
11611.25,0.0,11611.25
9560.56,0.0,9560.56
32868.25,0.0,32868.25
32915.48,0.0,32915.48
20886.26,0.0,20886.26
15556.58,0.0,15556.58
20193.99,0.0,20193.99
19909.69,0.0,19909.69
64322.84,0.0,64322.84
26314.71,0.0,26314.71
36094.94,0.0,36094.94
23925.46,3081.52,27006.98
14561.22,0.0,14561.22
28117.63,0.0,28117.63
13953.56,0.0,13953.56
17576.8,10516.3,28093.1
46847.88,0.0,46847.88
23155.87,0.0,23155.87
27032.22,0.0,27032.22
32766.0,5869.56,38635.56
57273.26,0.0,57273.26
55204.45,8510.86,63715.31
22864.4,0.0,22864.4
12559.41,0.0,12559.41
37238.02,0.0,37238.02
33275.62,0.0,33275.62
14993.04,0.0,14993.04
19398.76,0.0,19398.76
12916.4,0.0,12916.4
23054.42,0.0,23054.42
52864.56,4426.22,57290.78
29744.38,0.0,29744.38
4947.39,0.0,4947.39
45271.49,0.0,45271.49
30496.93,0.0,30496.93
25292.95,0.0,25292.95
31219.75,0.0,31219.75
24454.15,0.0,24454.15
50739.4,0.0,50739.4
36441.19,0.0,36441.19
14369.86,0.0,14369.86
18431.42,0.0,18431.42
39028.86,10516.3,49545.16
52117.52,0.0,52117.52
16810.97,0.0,16810.97
38239.45,0.0,38239.45
30909.87,0.0,30909.87
33635.22,0.0,33635.22
10207.26,198.89,10406.15
31157.25,0.0,31157.25
13739.9,0.0,13739.9
11499.5,2950.81,14450.31
31990.02,0.0,31990.02
59085.43,0.0,59085.43
41165.95,26557.37,67723.31999999999
15558.74,0.0,15558.74
30305.13,0.0,30305.13
28977.32,2201.08,31178.4
44300.63,0.0,44300.63
26163.7,0.0,26163.7
26806.41,0.0,26806.41
38788.82,0.0,38788.82
16691.64,0.0,16691.64
36003.62,9944.75,45948.37
69267.54,4769.02,74036.56
35031.4,0.0,35031.4
48502.51,0.0,48502.51
13880.29,0.0,13880.29
21715.14,0.0,21715.14
16296.44,5135.86,21432.3
44102.41,0.0,44102.41
814.52,2983.42,3797.94
33767.28,0.0,33767.28
37717.44,0.0,37717.44
37117.51,15652.17,52769.68
19115.36,0.0,19115.36
19829.27,2934.78,22764.05
38544.78,0.0,38544.78
25150.19,4402.17,29552.36
20799.45,0.0,20799.45
37744.7,0.0,37744.7
37864.29,0.0,37864.29
20363.91,0.0,20363.91
19606.48,0.0,19606.48
44304.03,0.0,44304.03
34657.17,0.0,34657.17
44212.75,0.0,44212.75
47860.64,0.0,47860.64
62579.28,13314.09,75893.37
36030.65,0.0,36030.65
36873.96,0.0,36873.96
58605.56,1475.4,60080.96
49562.51,2347.82,51910.33
50260.7,0.0,50260.7
43938.52,0.0,43938.52
24593.2,0.0,24593.2
13164.26,2592.39,15756.65
23907.96,0.0,23907.96
33656.59,0.0,33656.59
21174.32,0.0,21174.32
35840.29,195.65,36035.94
60901.77,2934.78,63836.549999999996
50235.5,0.0,50235.5
16411.41,0.0,16411.41
12151.12,0.0,12151.12
20753.31,0.0,20753.31
12031.82,0.0,12031.82
22806.94,0.0,22806.94
84349.09,0.0,84349.09
39831.81,0.0,39831.81
81083.26,23478.26,104561.51999999999
41995.46,0.0,41995.46
26619.41,4524.59,31144.0
14984.63,0.0,14984.63
29818.81,10939.22,40758.03
27564.59,0.0,27564.59
26755.1,0.0,26755.1
11511.97,0.0,11511.97
49646.86,0.0,49646.86
19467.06,0.0,19467.06
34716.07,0.0,34716.07
32106.93,2543.47,34650.4
59379.94,0.0,59379.94
37633.8,0.0,37633.8
19325.54,440.21,19765.75
14725.19,0.0,14725.19
31358.09,0.0,31358.09
21491.65,0.0,21491.65
11259.47,0.0,11259.47
19288.07,0.0,19288.07
8171.16,0.0,8171.16
37281.9,0.0,37281.9
10647.92,0.0,10647.92
17621.12,0.0,17621.12
24984.94,0.0,24984.94
28992.71,0.0,28992.71
9726.05,0.0,9726.05
14670.93,2347.82,17018.75
59772.63,0.0,59772.63
25672.96,0.0,25672.96
33267.76,1180.32,34448.08
23166.05,0.0,23166.05
12898.01,0.0,12898.01
15612.08,0.0,15612.08
4088.54,147.54,4236.08
12712.7,0.0,12712.7
33191.56,0.0,33191.56
38006.03,920.65,38926.68
26279.48,0.0,26279.48
62645.52,4255.43,66900.95
23549.25,1711.95,25261.2
15550.34,0.0,15550.34
25272.7,0.0,25272.7
22074.8,0.0,22074.8
18998.54,0.0,18998.54
13067.81,0.0,13067.81
57131.67,18196.72,75328.39
43856.5,21032.6,64889.1
42172.84,0.0,42172.84
51605.35,22010.86,73616.20999999999
19300.13,0.0,19300.13
34562.18,0.0,34562.18
22009.72,0.0,22009.72
36511.5,0.0,36511.5
22756.9,0.0,22756.9
13988.56,342.39,14330.949999999999
18810.33,1475.4,20285.730000000003
38392.07,0.0,38392.07
32208.85,0.0,32208.85
35173.94,0.0,35173.94
37227.24,4426.22,41653.46
30639.89,0.0,30639.89
38760.06,0.0,38760.06
37591.24,2934.78,40526.02
65358.13,0.0,65358.13
23968.13,0.0,23968.13
3837.23,0.0,3837.23
6970.55,1711.95,8682.5
39648.22,0.0,39648.22
19683.88,17704.91,37388.79
22816.59,0.0,22816.59
9442.23,0.0,9442.23
36033.73,0.0,36033.73
23990.1,0.0,23990.1
39189.56,0.0,39189.56
12651.48,0.0,12651.48
19265.42,0.0,19265.42
56526.04,0.0,56526.04
38445.56,0.0,38445.56
26864.07,0.0,26864.07
21218.59,0.0,21218.59
28764.46,0.0,28764.46
24580.08,2543.47,27123.550000000003
31987.7,0.0,31987.7
3612.8,0.0,3612.8
36715.54,0.0,36715.54
33678.67,0.0,33678.67
15410.72,0.0,15410.72
43091.37,2934.78,46026.15
41695.26,0.0,41695.26
15921.82,0.0,15921.82
21097.09,0.0,21097.09
3912.31,0.0,3912.31
22386.87,0.0,22386.87
16621.26,0.0,16621.26
28838.04,0.0,28838.04
13164.72,0.0,13164.72
42971.64,0.0,42971.64
15594.26,0.0,15594.26
9068.21,2934.78,12002.99
9082.59,0.0,9082.59
36155.58,0.0,36155.58
29000.14,0.0,29000.14
25877.42,13206.52,39083.94
30737.9,0.0,30737.9
25555.03,2934.78,28489.809999999998
17840.19,0.0,17840.19
64425.79,1180.32,65606.11
7891.42,0.0,7891.42
48864.23,0.0,48864.23
33173.38,0.0,33173.38
