log_dowry,elementary_plus,junior_plus,college,ethnicity,year,mar_year,mar_age,husband_elementary,husband_junior,husband_college,husband_mar_age,pre_marriage_asset,muslim,multiple_wives
,1.0,0.0,0.0,Jawa,2007.0,1994.0,22.0,1.0,1.0,0.0,27.0,1000000.0,1.0,0.0
,1.0,1.0,0.0,Batak,2007.0,1989.0,17.0,1.0,1.0,0.0,22.0,2000000.0,1.0,0.0
11.289782,0.0,0.0,0.0,Jawa,2007.0,1993.0,19.0,0.0,0.0,0.0,25.0,,1.0,0.0
13.815511,1.0,1.0,0.0,Batak,2000.0,1985.0,,1.0,1.0,1.0,27.0,,1.0,0.0
13.60479,0.0,0.0,0.0,95.0,2007.0,2001.0,22.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0
12.100712,0.0,0.0,0.0,Batak,2000.0,1994.0,18.0,0.0,0.0,0.0,24.0,,1.0,0.0
13.122363,0.0,0.0,0.0,95.0,2007.0,,19.0,0.0,0.0,0.0,,0.0,1.0,
12.611538,0.0,0.0,0.0,Melayu,2007.0,,18.0,0.0,0.0,0.0,,,1.0,
,0.0,0.0,0.0,Batak,2007.0,2007.0,21.0,1.0,1.0,0.0,21.0,40000.0,0.0,0.0
12.100712,1.0,1.0,0.0,Batak,2000.0,1999.0,20.0,1.0,1.0,0.0,22.0,,1.0,0.0
14.731801,1.0,1.0,0.0,Batak,2007.0,,23.0,1.0,0.0,0.0,,2000000.0,0.0,
14.914123,1.0,1.0,0.0,Batak,2007.0,1987.0,,1.0,1.0,0.0,24.0,,0.0,0.0
,1.0,1.0,0.0,Batak,2007.0,1990.0,24.0,1.0,1.0,1.0,24.0,,0.0,0.0
,1.0,0.0,0.0,Batak,2000.0,1998.0,23.0,1.0,1.0,0.0,37.0,,0.0,0.0
12.611538,,,,Batak,2007.0,1997.0,26.0,1.0,1.0,1.0,24.0,,1.0,0.0
13.815511,,,,95.0,2007.0,2001.0,17.0,1.0,0.0,0.0,21.0,5000000.0,1.0,0.0
15.60727,1.0,1.0,1.0,Batak,2007.0,2003.0,27.0,1.0,1.0,1.0,30.0,2000000.0,0.0,0.0
14.914123,1.0,1.0,1.0,Minang,2007.0,2004.0,25.0,1.0,1.0,0.0,28.0,350000.0,1.0,0.0
10.950807,1.0,0.0,0.0,Batak,2000.0,1971.0,21.0,1.0,1.0,1.0,24.0,,1.0,0.0
15.60727,1.0,1.0,1.0,Batak,2007.0,,28.0,1.0,1.0,0.0,,3500000.0,0.0,
,0.0,0.0,0.0,Batak,2007.0,1969.0,19.0,0.0,0.0,0.0,21.0,,0.0,1.0
12.611538,1.0,1.0,0.0,Batak,2000.0,1991.0,23.0,1.0,1.0,0.0,24.0,,1.0,0.0
,1.0,0.0,0.0,Batak,2007.0,1973.0,20.0,0.0,0.0,0.0,20.0,,0.0,0.0
,1.0,1.0,0.0,Batak,2007.0,2007.0,21.0,0.0,0.0,0.0,22.0,2000000.0,0.0,0.0
14.220976,1.0,1.0,0.0,Minang,2007.0,2004.0,19.0,1.0,1.0,0.0,23.0,1000000.0,1.0,0.0
14.914123,1.0,1.0,0.0,Minang,2007.0,,23.0,1.0,1.0,0.0,,0.0,1.0,
10.126631,1.0,1.0,0.0,Batak,2000.0,1954.0,20.0,0.0,0.0,0.0,20.0,,0.0,0.0
13.017003,1.0,1.0,0.0,95.0,2007.0,,24.0,1.0,1.0,0.0,,1000000.0,0.0,
13.592367,0.0,0.0,0.0,95.0,2007.0,2002.0,20.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0
,1.0,1.0,0.0,Batak,2007.0,2006.0,27.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0
14.508657,1.0,1.0,0.0,Batak,2007.0,2003.0,19.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0
10.819778,1.0,1.0,0.0,Batak,2007.0,2004.0,23.0,1.0,1.0,0.0,23.0,3200000.0,1.0,0.0
,0.0,0.0,0.0,Batak,2000.0,1980.0,24.0,1.0,0.0,0.0,30.0,,0.0,0.0
,1.0,1.0,1.0,Batak,2007.0,2004.0,28.0,1.0,1.0,1.0,29.0,,0.0,0.0
13.997832,1.0,1.0,0.0,Batak,2000.0,1997.0,25.0,0.0,0.0,0.0,37.0,,1.0,0.0
14.731801,1.0,0.0,0.0,Batak,2007.0,2003.0,23.0,1.0,0.0,0.0,27.0,1000000.0,0.0,0.0
,1.0,1.0,0.0,Batak,2007.0,2003.0,26.0,1.0,1.0,0.0,29.0,500000.0,0.0,0.0
12.206073,,,,Batak,2007.0,2000.0,31.0,1.0,1.0,0.0,39.0,,1.0,0.0
14.731801,1.0,1.0,0.0,Batak,2007.0,2005.0,23.0,1.0,1.0,0.0,26.0,1000000.0,0.0,0.0
,1.0,1.0,0.0,Batak,2000.0,1985.0,13.0,0.0,0.0,0.0,18.0,,0.0,0.0
13.815511,1.0,0.0,0.0,Batak,2000.0,1979.0,26.0,1.0,1.0,1.0,31.0,,0.0,0.0
,1.0,1.0,0.0,Batak,2007.0,2006.0,25.0,1.0,1.0,1.0,27.0,1000000.0,0.0,0.0
,0.0,0.0,0.0,Batak,2000.0,1969.0,27.0,0.0,0.0,0.0,28.0,1000.0,0.0,0.0
,1.0,0.0,0.0,Batak,2007.0,2002.0,19.0,0.0,0.0,0.0,21.0,500000.0,0.0,0.0
,1.0,0.0,0.0,Batak,2007.0,2003.0,16.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0
11.512925,1.0,1.0,0.0,Batak,2000.0,1985.0,20.0,1.0,1.0,0.0,22.0,,0.0,0.0
10.463103,,,,95.0,2007.0,1983.0,28.0,0.0,0.0,0.0,28.0,,1.0,0.0
14.508657,1.0,1.0,0.0,Batak,2007.0,2001.0,21.0,1.0,1.0,0.0,24.0,,0.0,0.0
14.403297,1.0,1.0,0.0,Batak,2000.0,1997.0,23.0,1.0,1.0,0.0,34.0,,0.0,0.0
,1.0,0.0,0.0,Batak,2000.0,1997.0,26.0,1.0,0.0,0.0,40.0,,0.0,0.0
,1.0,0.0,0.0,Batak,2000.0,1968.0,16.0,1.0,0.0,0.0,16.0,,0.0,0.0
13.71015,1.0,1.0,0.0,Batak,2000.0,1994.0,24.0,1.0,1.0,0.0,24.0,,0.0,0.0
,1.0,1.0,0.0,Batak,2000.0,1999.0,20.0,1.0,1.0,0.0,25.0,,0.0,0.0
12.095141,1.0,0.0,0.0,Melayu,2000.0,1990.0,22.0,,,,29.0,,1.0,0.0
9.903487,0.0,0.0,0.0,Batak,2000.0,1966.0,28.0,0.0,0.0,0.0,,20000.0,0.0,
13.122363,1.0,0.0,0.0,Batak,2000.0,1995.0,18.0,1.0,1.0,0.0,22.0,,0.0,0.0
,1.0,1.0,0.0,Jawa,2000.0,1994.0,24.0,1.0,1.0,0.0,32.0,,1.0,0.0
9.2103405,0.0,0.0,0.0,Batak,2007.0,1993.0,32.0,0.0,0.0,0.0,23.0,,1.0,0.0
12.206073,,,,Banjar,2007.0,1991.0,,1.0,0.0,0.0,23.0,,1.0,0.0
,1.0,0.0,0.0,Batak,2007.0,,18.0,0.0,0.0,0.0,,0.0,0.0,
,1.0,1.0,0.0,Batak,2007.0,2003.0,25.0,0.0,0.0,0.0,,2500000.0,0.0,
5.4161005,1.0,1.0,0.0,Batak,2000.0,1960.0,25.0,1.0,0.0,0.0,,,1.0,
15.068274,1.0,1.0,0.0,Batak,2007.0,2005.0,24.0,1.0,1.0,1.0,25.0,2000000.0,0.0,0.0
,0.0,0.0,0.0,Batak,2000.0,1941.0,15.0,0.0,0.0,0.0,,1000.0,0.0,
,1.0,0.0,0.0,Batak,2007.0,2006.0,20.0,1.0,0.0,0.0,27.0,4500000.0,0.0,0.0
12.611538,0.0,0.0,0.0,Batak,2000.0,1992.0,19.0,0.0,0.0,0.0,21.0,,0.0,0.0
12.429216,1.0,0.0,0.0,Batak,2007.0,1990.0,21.0,1.0,0.0,0.0,21.0,100000.0,0.0,0.0
13.815511,1.0,0.0,0.0,Batak,2007.0,,,0.0,0.0,0.0,,0.0,0.0,0.0
,,,,Batak,2000.0,,,0.0,0.0,0.0,,,0.0,
15.201805,1.0,1.0,0.0,Batak,2007.0,2006.0,22.0,1.0,1.0,0.0,27.0,3000000.0,0.0,0.0
,1.0,0.0,0.0,Batak,2007.0,2003.0,22.0,0.0,0.0,0.0,24.0,700000.0,0.0,0.0
13.122363,1.0,1.0,0.0,Batak,2007.0,2005.0,22.0,1.0,1.0,0.0,25.0,2000000.0,0.0,0.0
,,,,Batak,2000.0,1944.0,26.0,0.0,0.0,0.0,,,0.0,
13.458836,1.0,1.0,0.0,Jawa,2000.0,1999.0,26.0,0.0,0.0,0.0,28.0,,1.0,0.0
,1.0,0.0,0.0,Jawa,2007.0,1994.0,22.0,0.0,0.0,0.0,26.0,,1.0,0.0
11.512925,0.0,0.0,0.0,Jawa,2000.0,1980.0,17.0,0.0,0.0,0.0,20.0,,1.0,0.0
,1.0,1.0,0.0,Batak,2000.0,1983.0,18.0,0.0,0.0,0.0,27.0,,0.0,0.0
13.592367,0.0,0.0,0.0,Jawa,2007.0,,20.0,1.0,0.0,0.0,,,1.0,
15.068274,1.0,0.0,0.0,Batak,2007.0,2006.0,30.0,1.0,1.0,0.0,30.0,1200000.0,0.0,0.0
11.512925,,,,Jawa,2007.0,,24.0,,,,,0.0,1.0,
12.8992195,1.0,1.0,0.0,Jawa,2000.0,1992.0,22.0,1.0,1.0,0.0,23.0,,1.0,0.0
,0.0,0.0,0.0,Jawa,2007.0,,,0.0,0.0,0.0,15.0,,1.0,0.0
6.214608,0.0,0.0,0.0,Jawa,2007.0,,,0.0,0.0,0.0,,0.0,1.0,
,0.0,0.0,0.0,Jawa,2007.0,2006.0,16.0,0.0,0.0,0.0,19.0,500000.0,1.0,0.0
15.424949,1.0,1.0,0.0,Jawa,2007.0,2006.0,,1.0,1.0,1.0,24.0,,1.0,0.0
13.815511,1.0,0.0,0.0,Batak,2000.0,1985.0,22.0,0.0,0.0,0.0,36.0,,0.0,0.0
11.512925,1.0,1.0,0.0,Jawa,2007.0,2007.0,23.0,1.0,1.0,0.0,25.0,0.0,1.0,0.0
9.903487,0.0,0.0,0.0,Jawa,2007.0,1966.0,16.0,0.0,0.0,0.0,22.0,,1.0,
,1.0,0.0,0.0,Jawa,2007.0,1985.0,20.0,1.0,0.0,0.0,20.0,,1.0,0.0
12.206073,1.0,1.0,0.0,Jawa,2007.0,2005.0,20.0,1.0,1.0,0.0,27.0,10000000.0,1.0,0.0
10.819778,,,,Melayu,2000.0,1991.0,16.0,1.0,1.0,0.0,22.0,,1.0,0.0
9.903487,0.0,0.0,0.0,Jawa,2007.0,2004.0,21.0,0.0,0.0,0.0,27.0,,1.0,0.0
