Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Germany,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,63097.7108010283
Ghana,GHA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6796.47361923819
Gibraltar,GIB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Greece,GRC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,36821.2753699812
Greenland,GRL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Grenada,GRD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,16946.473156154
Guam,GUM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Guatemala,GTM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12389.385871782
Guinea,GIN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3949.34013510824
Guinea-Bissau,GNB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2578.80453427114
Guyana,GUY,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,49315.1603107751
Haiti,HTI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2956.46213701659
Honduras,HND,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6468.30192068321
"Hong Kong SAR, China",HKG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,64467.5756817829
Hungary,HUN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,40167.9924788499
Iceland,ISL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,66880.0658104169
India,IND,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,9160.06365370888
Indonesia,IDN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13889.8828825663
"Iran, Islamic Rep.",IRN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,15912.0299184195
Iraq,IRQ,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12711.0616746745
Ireland,IRL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,115401.125283215
Isle of Man,IMN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Israel,ISR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48356.0899146248
Italy,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,52588.6899412963
Jamaica,JAM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,10291.3126701479
Japan,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,45948.6761132298
Jordan,JOR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,9362.58776056423
Kazakhstan,KAZ,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,34703.2349286604
Kenya,KEN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5682.98916248678
Kiribati,KIR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3195.87039847415
"Korea, Dem. People's Rep.",PRK,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
"Korea, Rep.",KOR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,49995.4877276869
Kosovo,XKX,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13642.6769565744
Kuwait,KWT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,46458.2004898213
Kyrgyz Republic,KGZ,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6403.14308780476
Lao PDR,LAO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,8372.15591874407
Latvia,LVA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,38333.1714338943
